City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
551,puerto carreno,6.189,-67.4859,26.99000000000001,94,40,3.09,CO,1682106968
552,codrington,-38.2667,141.9667,15.310000000000002,73,100,2.27,AU,1682106968
553,abomey,7.1829,1.9912,26.180000000000007,77,69,2.23,BJ,1682106969
554,kuqa,41.7278,82.9364,12.760000000000048,30,95,0.78,CN,1682106969
555,grand gaube,-20.0064,57.6608,26.220000000000027,79,5,1.79,MU,1682106970
556,puerto leguizamo,-0.1934,-74.7819,22.939999999999998,96,100,1.71,CO,1682106970
557,kirakira,-10.4544,161.9205,26.710000000000036,83,15,2.3,SB,1682106971
558,la ronge,55.1001,-105.2842,6.1200000000000045,26,100,3.6,CA,1682106971
559,vanino,49.0869,140.2543,1.2900000000000205,69,100,4.6,RU,1682106972
560,harnosand,62.6323,17.9379,11.010000000000048,97,66,2.67,SE,1682106973
561,lastoursville,-0.8143,12.7287,24.180000000000007,87,100,0.81,GA,1682106973
562,tynda,55.1667,124.7167,-9.729999999999961,91,100,1.88,RU,1682106974
563,tres arroyos,-38.3739,-60.2798,19.220000000000027,38,100,5.65,AR,1682106847
564,beau vallon,-20.4189,57.6953,26.129999999999995,83,40,1.54,MU,1682106975
565,ciudad lazaro cardenas,17.9583,-102.2,28.980000000000018,59,48,5.81,MX,1682106975
566,huaraz,-9.5333,-77.5333,14.730000000000018,82,96,3.11,PE,1682106976
567,ratoath,53.5081,-6.4625,11.010000000000048,82,75,7.2,IE,1682106977
568,dexter,36.7959,-89.9579,18.970000000000027,42,22,3.67,US,1682106977
569,tupi,6.3167,124.95,22.840000000000032,91,99,0.3,PH,1682106978
570,esperantinopolis,-4.8667,-44.7083,27.439999999999998,84,100,0.48,BR,1682106978
571,coquimbo,-29.9533,-71.3436,21.850000000000023,56,0,1.54,CL,1682106979
572,itoman,26.1247,127.6694,22.010000000000048,83,100,9.26,JP,1682106980
573,le port,-20.9373,55.2919,26.0,95,6,3.61,RE,1682106981
574,roses,42.262,3.1769,17.28000000000003,74,29,4.02,ES,1682106981
